Ancient.To,Size_known,Population,Label,imcv_difference
Aquileia,Y,13500,Aquileia,51.28587994802413
Forum Iulii,Y,1200,Forum Iulii,47.94432959978686
Tergestum,Y,1500,Tergestum,44.574021706346116
Aegida,N,1500,NA,42.743172641260664
Concordia,Y,4200,Concordia,41.45751959091926
Curicum,N,1500,NA,40.24398796717319
Tarsatica,Y,900,Tarsatica,40.212660502047186
Adria,N,1500,NA,39.886192421529316
Mutina,Y,5400,Mutina,39.26019188961888
Patavium,Y,26000,Patavium,39.25366156875956
Urbana,N,1500,NA,39.14738482848789
Fulfinium,N,1500,NA,39.11841496241401
Opitergum,Y,3700,Opitergum,39.00619180786608
Tarvisium,Y,3000,Tarvisium,38.29497115175755
Altinum,Y,25600,Altinum,38.033505520616536
Arba,N,1500,NA,37.2998032832021
Parentium,Y,800,Parentium,37.267995792641756
Albona,N,1500,NA,36.894570519258345
Ateste,Y,5000,Ateste,36.7339353989573
Bononia,Y,5000,Bononia,36.71982837411862
Vicetia,Y,2800,NA,36.49058377055293
Ravenna,Y,22600,Ravenna,36.46042782357552
Varvaria,Y,700,NA,36.412463338516964
Varvaria,Y,700,NA,36.412463338516964
Claterna,Y,2200,NA,36.367321018234215
Cissa,N,1500,NA,36.05995847637716
Ortoplinia/Ortopula,N,1500,NA,35.88406436354884
Forum Cornelii,Y,3600,NA,35.47550146481639
Faventia,N,3000,NA,35.43343062234711
Aenona,Y,1600,NA,35.064042565805615
Forum Popili,Y,500,NA,34.932432803260546
Jablanc,N,1500,NA,34.92832967985195
Forum Livii,Y,3900,NA,34.86709648186957
Iader,Y,2600,NA,34.66626747319034
Absortium,N,1500,NA,34.64529190255667
Ariminum,Y,4000,NA,34.558964589860494
Pola,Y,2400,NA,34.190216736962995
Nesactium,Y,800,NA,34.188619294485996
Forentum,Y,3000,NA,33.702136521269644
Acelum,Y,1000,NA,33.607888650639495
Salapia Nova,Y,2200,NA,33.585575974871425
Caesena,Y,2100,NA,33.5317285910393
Senia,N,1500,NA,33.39462076291283
Fanum Fortunae,Y,2100,NA,33.3050957613149
Nedinum,N,1500,NA,33.09229706868679
Herdoniae,Y,1900,NA,32.97945854240711
Arpi,N,1500,NA,32.7485606484988
Verona,Y,5200,NA,32.74332626943582
Netium,N,1500,NA,32.70178473515734
Rubi,N,1500,NA,32.68851703928697
Burnum,N,1500,NA,32.58078221962984
Cannae,N,1500,NA,32.5292578936683
Blandona,N,1500,NA,32.433738382436914
Silvium,N,1500,NA,32.40342210475879
Lopsica,N,1500,NA,32.333359713337025
Crexa,N,1500,NA,32.320967295482944
Pisaurum,Y,1800,NA,32.23976436361932
Canusium,Y,1500,NA,32.21587861231893
Butuntum,N,1500,NA,32.14946782961793
Flanona,N,1500,NA,32.11190361052594
Clambetae,N,1500,NA,32.0625431871621
Genusia,N,1500,NA,31.87705329985575
