Ancient.To,imcv_difference
Aquileia,1.0684558322505027
Forum Iulii,0.9988401999955595
Tergestum,0.9286254522155442
Aegida,0.8904827633595972
Concordia,0.863698324810818
Curicum,0.8384164159827747
Tarsatica,0.8377637604593164
Adria,0.830962342115194
Mutina,0.81792066436706
Patavium,0.8177846160158242
Urbana,0.8155705172601644
Fulfinium,0.8149669783836252
Opitergum,0.8126289959972101
Tarvisium,0.797811898994949
Altinum,0.7923646983461777
Arba,0.7770792350667105
Parentium,0.7764165790133699
Albona,0.7686368858178821
Ateste,0.7652903208116104
Bononia,0.7649964244608045
Vicetia,0.7602204952198527
Ravenna,0.75959224632449
Varvaria,0.7585929862191034
Claterna,0.7576525212132129
Cissa,0.7512491349245243
Ortoplinia/Ortopula,0.7475846742406007
Forum Cornelii,0.7390729471836747
Faventia,0.7381964712988981
Aenona,0.730500886787617
Forum Popili,0.7277590167345948
Jablanc,0.7276735349969156
Forum Livii,0.7263978433722826
Iader,0.7222139056914653
Absortium,0.7217769146365973
Ariminum,0.719978428955427
Pola,0.7122961820200624
Nesactium,0.7122629019684582
Forentum,0.7021278441931176
Acelum,0.7001643468883229
Salapia Nova,0.699699499476488
Caesena,0.6985776789799854
Senia,0.6957212658940173
Fanum Fortunae,0.6938561616940605
Nedinum,0.6894228555976415
Herdoniae,0.6870720529668147
Arpi,0.6822616801770583
Verona,0.6821526306132462
Netium,0.6812871819824445
Rubi,0.6810107716518119
Burnum,0.6787662962422883
Cannae,0.6776928727847563
Blandona,0.6757028829674356
Silvium,0.6750712938491413
Lopsica,0.6736116606945214
Crexa,0.6733534853225613
Pisaurum,0.6716617575754025
Canusium,0.6711641377566444
Butuntum,0.669780579783707
Flanona,0.6689979918859572
Clambetae,0.6679696497325437
Genusia,0.6641052770803281
Ancona,0.6640675412302536
Asseria,0.6601180478220742
Cluana,0.6580054357818078
Alveria,0.6554239376202023
Corinium,0.6524440676363904
Luceria,0.6506636529784512
Ausculum,0.6493323989234956
Potentia,0.6483990673691412
Sidrona,0.6469368274707441
Caelia,0.6458947825300367
Sipontum,0.6439878380648115
Aecae,0.6432207343732894
Varvaria,0.6409866292339765
Saepinum,0.6359154128533784
Aesis,0.6348683250642777
Ansium,0.6333689044521355
Salapia Vetus,0.6321603418208539
Teanum Apulum,0.6315495131205214
Castrum Truentinum,0.6294832815085541
Solona,0.627178742162354
Numana,0.6236255628646192
Vegium/Vegia,0.6183303849204708
Azetium,0.6175472439583393
Helvia Ricina,0.6153249626975009
Sena Gallica,0.615291649871493
Auximum,0.6121393967194692
Pausulae,0.6088477853818169
Tarentum,0.6083640609182019
Suasa,0.6052683552779947
Cupra Maritima,0.6014173205949336
Barium,0.600324525536847
Ostra,0.5968508712903396
Castrum Novum Picenum,0.5961435155104166
Norba,0.5936895716742817
Pollentia,0.5926193252509125
Scardona,0.5906096901135791
Trea,0.589538272886365
Setovia,0.5879412153144582
Anxanum,0.5873005592483974
Hortona,0.586691194291657
Bovianum,0.5863098618891396
Argyruntum,0.5856014484493187
Urbs Salvia,0.5816354751368572
Aequum,0.5812502393708053
Caelia Calabria,0.5808429244043415
Epetion,0.5805128301404383
Firmum,0.5688347259392982
Teate Marrucinorum,0.5673751876506183
Rider,0.565759410404153
Septempeda,0.5654572857124629
Histonium,0.5646377122870032
Siculi,0.5636497027390105
Magnum,0.5620413539182749
Tragurium,0.5570446660691982
Egnatia,0.5559809690301567
Forum Sempronii,0.5556741814281371
Larinum,0.5542462871827791
Neretum,0.5539666780481065
Salona,0.5536804400013954
Tolentinum,0.5519759276863936
Falerio,0.549054209134863
Tilurium,0.5422974796408045
Novana,0.540588451310374
Asculum,0.5371514607757071
Fagifulae,0.533487239084652
Cupra Montana,0.5309409936456708
Pinna,0.5272438696127811
Issa,0.5268823592315449
Promona,0.5248604820480426
Andetrium,0.5222597401834976
Nareste,0.5151516343779494
Pituntium,0.5124228106165505
Urvinum Mataurense,0.5084239512840683
Rudiae,0.5073771475305686
Lupiae,0.5065090940040248
Atria,0.4993984967821003
Pitinum Pisaurense,0.49897503767204054
Brundisium,0.49886839164263763
Cluviae,0.4965927610268705
Sentinum,0.4963353772690837
Amiternum,0.4936561945118352
Terventum,0.4901211677210001
Interamnia,0.48274085771404174
Cingulum,0.48140028741335406
Sarsina,0.47981794811555445
Iuvanum,0.47634310756821957
Bigeste,0.4656578132022802
Pitinum Mergens,0.46408099952923115
Pagus Scunasticus,0.4623062659893035
Sestinum,0.45578712273127536
Uxentum,0.4359050564973827
Narona,0.43296064454870425
Iguvium,0.43210429057180166
Vibinum,0.4131256511918759
Lissus,0.4009830172601271
Scodra,0.3930198176972929
Anxa,0.38716699848342423
Hydruntum,0.3794800315965022
Oneum,0.3677369990473174
Epidaurum,0.3570803657512306
Diluntum,0.3543325250156931
Apollonia,0.34154545439246126
Doclea,0.3397671172312105
Dyrrachium/Epidamnos,0.2780060922308183
Olcinium,0.2707501558218382
Butua,0.2488294784809088
Risinium,0.18849451718160443
Acruvium,0.12192040833137244
