Ancient.To,imcv_difference
Aquileia,51.28587994802413
Forum Iulii,47.94432959978686
Tergestum,44.574021706346116
Aegida,42.743172641260664
Concordia,41.45751959091926
Curicum,40.24398796717319
Tarsatica,40.212660502047186
Adria,39.886192421529316
Mutina,39.26019188961888
Patavium,39.25366156875956
Urbana,39.14738482848789
Fulfinium,39.11841496241401
Opitergum,39.00619180786608
Tarvisium,38.29497115175755
Altinum,38.033505520616536
Arba,37.2998032832021
Parentium,37.267995792641756
Albona,36.894570519258345
Ateste,36.7339353989573
Bononia,36.71982837411862
Vicetia,36.49058377055293
Ravenna,36.46042782357552
Varvaria,36.412463338516964
Claterna,36.367321018234215
Cissa,36.05995847637716
Ortoplinia/Ortopula,35.88406436354884
Forum Cornelii,35.47550146481639
Faventia,35.43343062234711
Aenona,35.064042565805615
Forum Popili,34.932432803260546
Jablanc,34.92832967985195
Forum Livii,34.86709648186957
Iader,34.66626747319034
Absortium,34.64529190255667
Ariminum,34.558964589860494
Pola,34.190216736962995
Nesactium,34.188619294485996
Forentum,33.702136521269644
Acelum,33.607888650639495
Salapia Nova,33.585575974871425
Caesena,33.5317285910393
Senia,33.39462076291283
Fanum Fortunae,33.3050957613149
Nedinum,33.09229706868679
Herdoniae,32.97945854240711
Arpi,32.7485606484988
Verona,32.74332626943582
Netium,32.70178473515734
Rubi,32.68851703928697
Burnum,32.58078221962984
Cannae,32.5292578936683
Blandona,32.433738382436914
Silvium,32.40342210475879
Lopsica,32.333359713337025
Crexa,32.320967295482944
Pisaurum,32.23976436361932
Canusium,32.21587861231893
Butuntum,32.14946782961793
Flanona,32.11190361052594
Clambetae,32.0625431871621
Genusia,31.87705329985575
Ancona,31.87524197905217
Asseria,31.68566629545956
Cluana,31.584260917526777
Alveria,31.46034900576971
Corinium,31.317315246546737
Luceria,31.231855342965655
Ausculum,31.16795514832779
Potentia,31.123155233718776
Sidrona,31.052967718595717
Caelia,31.002949561441763
Sipontum,30.911416227110955
Aecae,30.874595249917896
Varvaria,30.767358203230877
Saepinum,30.523939816962162
Aesis,30.473679603085326
Ansium,30.4017074137025
Salapia Vetus,30.343696407400984
Teanum Apulum,30.31437662978503
Castrum Truentinum,30.2151975124106
Solona,30.104579623792993
Numana,29.934027017501727
Vegium/Vegia,29.679858476182595
Azetium,29.642267710000283
Helvia Ricina,29.535598209480046
Sena Gallica,29.533999193831665
Auximum,29.382691042534518
Pausulae,29.224693698327215
Tarentum,29.201474924073697
Suasa,29.05288105334375
Cupra Maritima,28.868031388556812
Barium,28.81557722576866
Ostra,28.6488418219363
Castrum Novum Picenum,28.614888744499993
Norba,28.49709944036552
Pollentia,28.4457276120438
Scardona,28.349265125451797
Trea,28.297837098545518
Setovia,28.221178335093995
Anxanum,28.190426843923078
Hortona,28.16117732599953
Bovianum,28.142873370678696
Argyruntum,28.1088695255673
Urbs Salvia,27.918502806569148
Aequum,27.900011489798658
Caelia Calabria,27.880460371408393
Epetion,27.864615846741035
Firmum,27.30406684508631
Teate Marrucinorum,27.234009007229684
Rider,27.156451699399348
Septempeda,27.14194971419822
Histonium,27.102610189776158
Siculi,27.055185731472505
Magnum,26.977984988077196
Tragurium,26.738143971321517
Egnatia,26.68708651344752
Forum Sempronii,26.672360708550578
Larinum,26.603821784773395
Neretum,26.590400546309112
Salona,26.576661120066976
Tolentinum,26.494844528946896
Falerio,26.354602038473427
Tilurium,26.03027902275862
Novana,25.94824566289795
Asculum,25.78327011723394
Fagifulae,25.607387476063295
Cupra Montana,25.4851676949922
Pinna,25.307705741413493
Issa,25.290353243114154
Promona,25.193303138306042
Andetrium,25.068467528807886
Nareste,24.727278450141572
Pituntium,24.596294909594423
Urvinum Mataurense,24.404349661635276
Rudiae,24.354103081467294
Lupiae,24.31243651219319
Atria,23.971127845540813
Pitinum Pisaurense,23.950801808257946
Brundisium,23.945682798846608
Cluviae,23.836452529289783
Sentinum,23.82409810891602
Amiternum,23.69549733656809
Terventum,23.525816050608007
Interamnia,23.171561170274003
Cingulum,23.107213795840995
Sarsina,23.031261509546614
Iuvanum,22.86446916327454
Bigeste,22.35157503370945
Pitinum Mergens,22.275887977403094
Pagus Scunasticus,22.190700767486568
Sestinum,21.877781891101215
Uxentum,20.92344271187437
Narona,20.782110938337805
Iguvium,20.741005947446478
Vibinum,19.830031257210045
Lissus,19.247184828486102
Scodra,18.86495124947006
Anxa,18.584015927204362
Hydruntum,18.215041516632102
Oneum,17.651375954271234
Epidaurum,17.139857556059066
Diluntum,17.007961200753268
Apollonia,16.39418181083814
Doclea,16.3088216270981
Dyrrachium/Epidamnos,13.34429242707928
Olcinium,12.996007479448233
Butua,11.943814967083622
Risinium,9.047736824717013
Acruvium,5.852179599905877
